1	2025-08-14-14-49-38	458	28.63	43	26.01
2	2025-08-14-14-49-39	427	23.71	24	22.21
3	2025-08-14-14-49-40	580	20.24	97	27.93
4	2025-08-14-14-49-41	452	21.3	68	21.05
5	2025-08-14-14-49-42	525	24.15	98	25.15
6	2025-08-14-14-49-43	457	23.33	11	27.61
7	2025-08-14-14-49-44	523	21.35	18	21.54
8	2025-08-14-14-49-45	460	27.79	25	26.72
9	2025-08-14-14-49-46	346	28.42	36	25.61
10	2025-08-14-14-49-47	549	28.37	50	26.16
11	2025-08-14-14-49-48	547	25.07	38	23.69
12	2025-08-14-14-49-49	322	21.05	27	29.5
13	2025-08-14-14-49-50	439	27.02	91	26.68
14	2025-08-14-14-49-51	462	22.47	24	21.84
15	2025-08-14-14-49-52	397	23.23	11	21.19
16	2025-08-14-14-49-53	368	21.66	74	22.97
17	2025-08-14-14-49-54	545	27.63	19	20.86
18	2025-08-14-14-49-56	530	22.16	1	25.13
19	2025-08-14-14-49-57	410	24.8	73	21.55
20	2025-08-14-14-49-58	336	28.75	21	26.45
21	2025-08-14-14-49-59	521	29.26	79	28.17
22	2025-08-14-14-50-00	444	25.42	49	27.8
23	2025-08-14-14-50-01	339	25.86	76	28.4
24	2025-08-14-14-50-02	208	27.68	75	27.59
25	2025-08-14-14-50-03	339	22.94	99	28.17
26	2025-08-14-14-50-04	394	27.52	40	26.26
27	2025-08-14-14-50-05	336	29.71	44	20.59
28	2025-08-14-14-50-06	374	23.04	66	27.91
29	2025-08-14-14-50-07	364	28.8	8	27.34
30	2025-08-14-14-50-08	282	23.03	26	21.66
31	2025-08-14-14-50-09	459	28.77	87	29.93
32	2025-08-14-14-50-10	456	25.55	34	28.74
33	2025-08-14-14-50-11	583	23.35	32	29.5
34	2025-08-14-14-50-12	383	27.63	75	28.5
35	2025-08-14-14-50-13	224	20.58	10	20.81
36	2025-08-14-14-50-15	367	24.79	70	23.56
37	2025-08-14-14-50-16	469	28.99	27	27.43
38	2025-08-14-14-50-17	532	25.26	23	25.18
39	2025-08-14-14-50-18	529	21.93	79	29.07
40	2025-08-14-14-50-19	383	24.86	51	27.93
41	2025-08-14-14-50-20	335	21.36	12	27.13
42	2025-08-14-14-50-21	225	26.15	92	24.16
43	2025-08-14-14-50-22	539	22.16	83	20.2
44	2025-08-14-14-50-24	393	22.36	0	22.87
45	2025-08-14-14-50-25	362	22.26	85	29.7
46	2025-08-14-14-50-26	460	21.55	87	26.08
47	2025-08-14-14-50-27	303	25.54	16	23.88
48	2025-08-14-14-50-28	429	27.96	37	28.63
49	2025-08-14-14-50-29	527	25.94	10	25.37
