1	2025-08-15-01-50-43	484	22.82	7	22.95
2	2025-08-15-01-50-44	514	23.54	62	23.06
3	2025-08-15-01-50-45	522	21.2	57	21.49
4	2025-08-15-01-50-46	461	21.97	43	20.06
5	2025-08-15-01-50-47	677	22.07	73	28.3
6	2025-08-15-01-50-48	539	20.14	98	28.86
7	2025-08-15-01-50-49	437	28.9	55	25.97
8	2025-08-15-01-50-50	446	22.43	34	25.83
9	2025-08-15-01-50-51	285	21.78	80	23.92
10	2025-08-15-01-50-52	449	26.11	42	24.01
11	2025-08-15-01-50-53	521	28.95	46	27.49
12	2025-08-15-01-50-54	523	21.92	93	25.41
13	2025-08-15-01-50-55	444	22.54	5	25.87
14	2025-08-15-01-50-56	417	21.19	78	25.8
15	2025-08-15-01-50-57	585	23.94	48	25.76
16	2025-08-15-01-50-58	513	28.22	3	21.45
17	2025-08-15-01-50-59	515	26.7	53	24.89
18	2025-08-15-01-51-00	486	24.04	1	24.12
19	2025-08-15-01-51-01	352	23.28	7	26.26
20	2025-08-15-01-51-02	638	25.19	49	29.59
21	2025-08-15-01-51-03	242	22.08	83	20.59
22	2025-08-15-01-51-04	600	21.68	27	22.28
23	2025-08-15-01-51-05	374	22.37	38	21.54
24	2025-08-15-01-51-06	706	27.47	83	25.43
25	2025-08-15-01-51-07	426	25.91	47	28.25
26	2025-08-15-01-51-09	527	23.28	38	28.08
27	2025-08-15-01-51-10	582	28.73	59	20.72
28	2025-08-15-01-51-11	431	26.04	95	23.92
29	2025-08-15-01-51-12	455	28.92	77	27.33
30	2025-08-15-01-51-13	632	27.44	37	26.05
31	2025-08-15-01-51-14	430	22.57	31	22.89
32	2025-08-15-01-51-15	475	23.96	64	25.49
33	2025-08-15-01-51-16	505	28.2	38	23.9
34	2025-08-15-01-51-17	642	24.77	96	20.72
35	2025-08-15-01-51-19	381	21.33	19	21.26
36	2025-08-15-01-51-20	543	23.32	21	25.58
37	2025-08-15-01-51-21	510	20.82	17	24.88
38	2025-08-15-01-51-22	345	25.84	60	22.5
39	2025-08-15-01-51-23	232	23.82	2	28.75
40	2025-08-15-01-51-24	412	27.68	34	24.35
41	2025-08-15-01-51-25	501	29.04	54	23.82
42	2025-08-15-01-51-26	536	21.01	40	26.66
43	2025-08-15-01-51-27	390	21.77	93	27.43
44	2025-08-15-01-51-28	585	25.77	71	24.06
45	2025-08-15-01-51-29	332	28.39	59	22.56
46	2025-08-15-01-51-30	382	20.96	54	24.02
47	2025-08-15-01-51-31	558	28.49	96	20.93
48	2025-08-15-01-51-32	445	28.34	28	29.25
49	2025-08-15-01-51-33	503	25.01	50	25.27
50	2025-08-15-01-51-34	607	23.22	55	25.32
51	2025-08-15-01-51-35	437	29.99	32	27.45
52	2025-08-15-01-51-36	496	24.02	87	20.58
53	2025-08-15-01-51-37	422	20.12	69	25.04
54	2025-08-15-01-51-38	620	24.53	59	25.4
55	2025-08-15-01-51-39	445	24.2	62	26.59
56	2025-08-15-01-51-40	548	28.55	55	20.04
57	2025-08-15-01-51-41	631	21.27	47	26.51
58	2025-08-15-01-51-42	501	24.65	68	24.35
59	2025-08-15-01-51-43	547	24.62	97	23.76
60	2025-08-15-01-51-44	603	20.99	47	22.79
61	2025-08-15-01-51-45	566	26	70	27.46
62	2025-08-15-01-51-47	461	20.48	23	24.03
63	2025-08-15-01-51-48	428	20.63	81	28.86
64	2025-08-15-01-51-49	425	25.92	78	25.61
65	2025-08-15-01-51-50	389	27.03	42	29.52
66	2025-08-15-01-51-51	510	25.02	30	21.34
67	2025-08-15-01-51-52	389	27.76	79	29.39
68	2025-08-15-01-51-53	358	23.58	4	25.83
69	2025-08-15-01-51-54	622	21.96	46	26.88
70	2025-08-15-01-51-55	485	22.04	29	26.5
71	2025-08-15-01-51-56	646	29.95	16	27.58
72	2025-08-15-01-51-57	560	21.06	24	29.69
73	2025-08-15-01-51-58	649	28.96	42	27.71
74	2025-08-15-01-51-59	590	27.4	49	22.05
75	2025-08-15-01-52-00	504	23.24	38	29.02
76	2025-08-15-01-52-01	487	27.86	33	25.76
77	2025-08-15-01-52-02	498	22.04	34	24.99
78	2025-08-15-01-52-03	378	21.9	44	26.52
79	2025-08-15-01-52-04	247	23.03	88	23.04
80	2025-08-15-01-52-05	417	22.34	5	25.51
81	2025-08-15-01-52-06	472	26.65	20	22.18
82	2025-08-15-01-52-07	462	23.76	38	23.42
83	2025-08-15-01-52-08	402	28.93	98	26
84	2025-08-15-01-52-09	549	24.01	0	24.59
85	2025-08-15-01-52-10	536	22.18	22	28.58
86	2025-08-15-01-52-11	388	28.87	1	21.16
87	2025-08-15-01-52-12	409	28.86	4	20.54
