1	2025-08-14-14-57-03	513	27.84	42	21.63
2	2025-08-14-14-57-04	487	28.17	86	28.85
3	2025-08-14-14-57-05	345	24.79	40	22.69
4	2025-08-14-14-57-06	457	28.01	94	29.49
5	2025-08-14-14-57-07	479	26.66	44	22.08
6	2025-08-14-14-57-08	496	23.36	61	22.04
7	2025-08-14-14-57-09	413	24.55	37	21.04
8	2025-08-14-14-57-10	446	26.34	77	23.3
9	2025-08-14-14-57-11	263	29.37	29	26.96
10	2025-08-14-14-57-12	538	28.59	85	24.16
11	2025-08-14-14-57-13	344	23.28	70	25.58
12	2025-08-14-14-57-14	599	22.17	72	23.96
13	2025-08-14-14-57-15	321	24.94	70	22.43
14	2025-08-14-14-57-16	574	25.27	48	23.35
15	2025-08-14-14-57-17	440	29.66	0	28.34
16	2025-08-14-14-57-18	507	25.78	26	25.14
17	2025-08-14-14-57-19	502	28.12	67	21.86
18	2025-08-14-14-57-20	361	28.73	26	22.22
19	2025-08-14-14-57-21	322	29.96	27	27.15
20	2025-08-14-14-57-22	405	24.69	84	20.87
21	2025-08-14-14-57-23	281	27.61	82	23.21
22	2025-08-14-14-57-24	479	20.56	25	23.58
23	2025-08-14-14-57-25	514	22.78	68	25.06
24	2025-08-14-14-57-26	522	21.23	18	27.92
25	2025-08-14-14-57-28	371	29.24	1	24.36
26	2025-08-14-14-57-29	479	27.93	75	24.34
27	2025-08-14-14-57-30	380	21.23	76	27.01
28	2025-08-14-14-57-31	474	26.96	31	20.03
29	2025-08-14-14-57-32	583	24.39	82	21.45
30	2025-08-14-14-57-33	272	21.23	77	21.71
31	2025-08-14-14-57-34	411	21.91	87	28.48
32	2025-08-14-14-57-35	560	29.68	82	23.7
33	2025-08-14-14-57-36	437	26.47	11	25.65
34	2025-08-14-14-57-37	438	21	90	21
35	2025-08-14-14-57-38	437	28.59	87	27.04
36	2025-08-14-14-57-39	495	24.08	13	22.13
37	2025-08-14-14-57-40	397	27.55	58	26.27
38	2025-08-14-14-57-41	560	22.71	58	23.98
39	2025-08-14-14-57-42	415	26.36	8	26.39
40	2025-08-14-14-57-43	567	28.86	98	22.62
41	2025-08-14-14-57-44	515	29.94	29	28.89
42	2025-08-14-14-57-45	738	25.51	78	25.9
43	2025-08-14-14-57-46	535	21.38	90	21.88
44	2025-08-14-14-57-47	505	24.45	16	27.95
45	2025-08-14-14-57-48	366	23.18	23	29.2
46	2025-08-14-14-57-49	388	25.62	70	27.96
47	2025-08-14-14-57-50	468	22.31	37	20.79
48	2025-08-14-14-57-51	535	21.4	46	23.32
49	2025-08-14-14-57-52	632	21.16	12	25.71
50	2025-08-14-14-57-53	443	24.53	62	24.9
51	2025-08-14-14-57-54	550	28.85	83	27.06
