1	2025-08-14-14-57-58	302	27.95	52	20.6
2	2025-08-14-14-57-59	516	27.17	96	21.06
3	2025-08-14-14-58-00	445	25.06	36	22.83
4	2025-08-14-14-58-01	536	26.38	99	22.72
5	2025-08-14-14-58-02	325	27.57	63	24.48
6	2025-08-14-14-58-03	334	21.73	20	23.47
7	2025-08-14-14-58-04	600	21.69	6	22.45
8	2025-08-14-14-58-05	516	23.04	50	21.37
9	2025-08-14-14-58-06	586	23.14	70	26.07
10	2025-08-14-14-58-07	486	28.27	46	20.47
11	2025-08-14-14-58-08	353	24.5	84	21.34
12	2025-08-14-14-58-09	441	23.46	33	25.46
13	2025-08-14-14-58-10	335	21.95	68	25.22
14	2025-08-14-14-58-11	529	21.93	60	22.91
15	2025-08-14-14-58-12	579	27.93	5	21.18
16	2025-08-14-14-58-13	518	23.19	63	27.97
17	2025-08-14-14-58-14	434	23.32	86	25
18	2025-08-14-14-58-15	607	27.52	7	24.07
19	2025-08-14-14-58-16	374	20.48	35	20.56
20	2025-08-14-14-58-17	366	20.39	19	21.75
21	2025-08-14-14-58-18	462	20.33	6	29.38
22	2025-08-14-14-58-19	333	22.87	13	21.97
23	2025-08-14-14-58-20	660	29.45	84	20.12
24	2025-08-14-14-58-21	481	24.06	9	21.71
25	2025-08-14-14-58-22	516	25.8	89	23.39
26	2025-08-14-14-58-23	412	21.45	25	23.59
27	2025-08-14-14-58-24	472	29.77	42	22.64
28	2025-08-14-14-58-25	496	20.09	39	20.06
29	2025-08-14-14-58-26	355	24.45	68	24.78
30	2025-08-14-14-58-27	489	26.52	18	22.71
31	2025-08-14-14-58-28	385	26.23	11	22.24
32	2025-08-14-14-58-29	549	25.03	97	20.79
33	2025-08-14-14-58-30	405	21.8	70	23.7
34	2025-08-14-14-58-31	789	28.41	20	23.86
35	2025-08-14-14-58-32	338	29.54	70	23.44
36	2025-08-14-14-58-33	510	28.8	64	20.32
37	2025-08-14-14-58-34	303	28.82	94	27.26
38	2025-08-14-14-58-35	336	26	73	25.18
39	2025-08-14-14-58-36	390	21.32	2	28.86
40	2025-08-14-14-58-37	602	23.98	15	21.96
41	2025-08-14-14-58-38	230	25.31	61	21.11
42	2025-08-14-14-58-39	485	20.74	14	22.95
43	2025-08-14-14-58-40	300	29.7	21	23.64
44	2025-08-14-14-58-41	615	28.87	40	23.94
45	2025-08-14-14-58-42	200	21.95	74	26.18
46	2025-08-14-14-58-43	398	23.93	68	24.89
47	2025-08-14-14-58-44	372	25.02	19	28.65
48	2025-08-14-14-58-45	586	28.41	8	22.69
49	2025-08-14-14-58-46	529	24.59	76	24.06
50	2025-08-14-14-58-47	236	26.06	12	29.3
51	2025-08-14-14-58-48	582	25.59	41	23.41
52	2025-08-14-14-58-49	522	21.27	16	29.98
53	2025-08-14-14-58-50	476	21.1	59	25.83
54	2025-08-14-14-58-51	639	20.16	95	20.87
55	2025-08-14-14-58-52	390	25.9	98	27.75
56	2025-08-14-14-58-53	256	23.35	18	28.71
57	2025-08-14-14-58-54	512	23.89	94	27.13
58	2025-08-14-14-58-56	257	28.22	13	29.58
59	2025-08-14-14-58-57	493	21.98	9	23.97
60	2025-08-14-14-58-58	495	27.52	24	25.6
61	2025-08-14-14-58-59	394	22.24	81	21.08
62	2025-08-14-14-59-00	539	25.13	75	28.48
63	2025-08-14-14-59-01	448	25.87	4	24.57
64	2025-08-14-14-59-02	492	25.47	15	23.24
65	2025-08-14-14-59-03	535	23.15	50	28.1
66	2025-08-14-14-59-04	392	23.02	14	21.37
67	2025-08-14-14-59-05	358	28.8	29	25.55
68	2025-08-14-14-59-06	536	29.12	24	22.82
