1	2025-08-14-14-47-15	461	27.48	59	21.37
2	2025-08-14-14-47-16	406	27.07	47	24.64
3	2025-08-14-14-47-17	550	22.89	86	24.64
4	2025-08-14-14-47-19	415	20.4	48	26.76
5	2025-08-14-14-47-20	416	23.01	83	27.25
6	2025-08-14-14-47-21	426	24.68	40	23.21
7	2025-08-14-14-47-23	321	20.61	69	29.69
8	2025-08-14-14-47-24	464	25.29	16	21.62
9	2025-08-14-14-47-25	512	23.43	32	20.3
10	2025-08-14-14-47-26	314	20.09	13	22.36
11	2025-08-14-14-47-27	594	22.43	67	25.89
12	2025-08-14-14-47-28	321	27.97	97	28.58
13	2025-08-14-14-47-29	572	20.68	15	25.57
14	2025-08-14-14-47-30	444	20.58	74	23.25
15	2025-08-14-14-47-31	295	22.77	36	28.08
16	2025-08-14-14-47-32	542	27.24	34	28.82
17	2025-08-14-14-47-33	423	20.72	47	28.12
18	2025-08-14-14-47-34	555	26.17	93	24.26
19	2025-08-14-14-47-35	450	26.28	40	27.25
20	2025-08-14-14-47-36	585	29.92	27	25.9
21	2025-08-14-14-47-37	439	20.43	42	26.49
22	2025-08-14-14-47-38	491	22.71	27	29.82
23	2025-08-14-14-47-39	473	28.42	27	28.47
24	2025-08-14-14-47-40	419	22.72	3	25.16
25	2025-08-14-14-47-41	353	24.55	76	21.8
26	2025-08-14-14-47-42	509	29.03	92	27.06
27	2025-08-14-14-47-43	433	27.93	96	25.86
28	2025-08-14-14-47-44	412	28.38	68	20.92
29	2025-08-14-14-47-45	374	29.48	5	20.49
30	2025-08-14-14-47-46	446	25.88	4	28.04
31	2025-08-14-14-47-47	403	20.42	1	21.23
32	2025-08-14-14-47-48	369	27.22	13	29
33	2025-08-14-14-47-49	460	24.69	91	22.33
34	2025-08-14-14-47-50	573	24.54	94	27.79
35	2025-08-14-14-47-51	355	29.93	2	20.29
36	2025-08-14-14-47-52	376	24.83	82	21.53
37	2025-08-14-14-47-53	603	29.72	54	24.79
38	2025-08-14-14-47-54	361	21.04	68	24.43
39	2025-08-14-14-47-55	594	29.84	60	20.34
40	2025-08-14-14-47-56	533	22.52	2	21.73
41	2025-08-14-14-47-57	541	28.92	27	23.57
42	2025-08-14-14-47-58	377	22.33	92	27.13
43	2025-08-14-14-47-59	501	29.04	90	25.25
44	2025-08-14-14-48-00	412	21.13	56	21.3
45	2025-08-14-14-48-01	299	21.27	37	29.14
46	2025-08-14-14-48-02	465	22.22	16	27.27
47	2025-08-14-14-48-03	451	25.44	31	28.14
48	2025-08-14-14-48-04	521	21.68	95	28.97
49	2025-08-14-14-48-05	575	24.01	83	20.85
50	2025-08-14-14-48-06	383	29.3	78	25.37
51	2025-08-14-14-48-07	652	21.15	46	24.83
52	2025-08-14-14-48-08	558	27.2	33	23.76
53	2025-08-14-14-48-09	506	28.88	57	20.23
54	2025-08-14-14-48-10	340	26.26	94	20.45
55	2025-08-14-14-48-11	395	27.22	61	20.34
56	2025-08-14-14-48-12	517	26.61	4	22.21
57	2025-08-14-14-48-13	627	27.99	9	29.59
58	2025-08-14-14-48-14	390	24.42	71	21.26
59	2025-08-14-14-48-15	353	28.19	33	29.78
60	2025-08-14-14-48-16	363	20.49	9	22.58
61	2025-08-14-14-48-17	640	20.37	48	22.52
62	2025-08-14-14-48-18	528	23.39	81	24.06
63	2025-08-14-14-48-19	546	28.47	46	23.97
64	2025-08-14-14-48-20	465	29.57	99	28.8
65	2025-08-14-14-48-21	337	25.63	88	21.24
66	2025-08-14-14-48-22	275	29.64	32	27.64
67	2025-08-14-14-48-23	410	21.14	42	24.98
68	2025-08-14-14-48-24	530	29.78	33	25.54
69	2025-08-14-14-48-25	428	29.69	39	22.23
70	2025-08-14-14-48-26	543	29.82	53	28.75
71	2025-08-14-14-48-27	534	29.43	82	29.52
72	2025-08-14-14-48-28	554	24.48	43	20.75
73	2025-08-14-14-48-29	449	29.1	8	28.36
74	2025-08-14-14-48-30	485	28.08	80	21.54
75	2025-08-14-14-48-32	516	28.5	80	27.21
76	2025-08-14-14-48-33	523	26.49	71	29.19
77	2025-08-14-14-48-34	365	21.01	55	20.07
78	2025-08-14-14-48-35	352	28.03	25	20.19
79	2025-08-14-14-48-36	527	24.07	26	20.39
80	2025-08-14-14-48-37	499	21.25	5	29.78
81	2025-08-14-14-48-38	376	22.47	4	27.62
82	2025-08-14-14-48-39	365	25.36	37	29.13
