1	2025-08-14-14-55-01	536	26.52	33	24.63
2	2025-08-14-14-55-03	523	27.06	12	26.65
3	2025-08-14-14-55-04	535	27.43	50	27.96
4	2025-08-14-14-55-05	277	23.31	17	28.29
5	2025-08-14-14-55-06	513	23.86	29	21.75
6	2025-08-14-14-55-07	647	20.21	64	27.43
7	2025-08-14-14-55-08	378	29.28	7	26.38
8	2025-08-14-14-55-10	423	29.37	32	27.35
9	2025-08-14-14-55-11	580	25.11	73	20.81
10	2025-08-14-14-55-12	492	28.49	52	21.21
11	2025-08-14-14-55-13	438	27.58	85	27.93
12	2025-08-14-14-55-14	351	27.92	25	23.92
13	2025-08-14-14-55-15	367	21.08	71	24.23
14	2025-08-14-14-55-16	359	27.82	8	29.2
15	2025-08-14-14-55-17	383	25.64	54	27.52
16	2025-08-14-14-55-18	565	29.19	72	26.71
17	2025-08-14-14-55-19	483	24.41	75	29.84
18	2025-08-14-14-55-20	463	25.84	89	29.25
19	2025-08-14-14-55-21	459	22.93	21	26.75
20	2025-08-14-14-55-22	511	22.62	24	29.69
21	2025-08-14-14-55-23	503	28.32	69	20.25
22	2025-08-14-14-55-24	445	26.03	46	26.54
23	2025-08-14-14-55-25	372	25.19	32	24.68
24	2025-08-14-14-55-26	559	28.39	47	21.56
25	2025-08-14-14-55-27	357	26.89	13	21.13
26	2025-08-14-14-55-28	293	27.03	96	29.85
27	2025-08-14-14-55-29	513	20.66	40	29.95
28	2025-08-14-14-55-30	517	20.47	7	25.36
29	2025-08-14-14-55-31	357	23.55	21	29.48
30	2025-08-14-14-55-32	528	20.81	51	22.17
31	2025-08-14-14-55-33	454	29.69	81	22.7
32	2025-08-14-14-55-34	275	22.07	3	28.89
33	2025-08-14-14-55-35	520	26.63	19	29.14
34	2025-08-14-14-55-36	550	21.01	99	25.54
35	2025-08-14-14-55-37	489	29.64	62	29.72
36	2025-08-14-14-55-38	494	20.57	16	22.99
37	2025-08-14-14-55-39	364	28.41	27	28.66
38	2025-08-14-14-55-40	596	27.35	18	22.01
39	2025-08-14-14-55-41	377	23.73	88	28.24
40	2025-08-14-14-55-42	413	22.12	5	21.41
41	2025-08-14-14-55-43	539	23.1	0	28.03
42	2025-08-14-14-55-44	453	28.47	62	21.13
43	2025-08-14-14-55-45	319	25.73	80	20.48
44	2025-08-14-14-55-46	577	20.54	4	21.64
45	2025-08-14-14-55-47	424	28.83	99	22.12
46	2025-08-14-14-55-48	329	24.31	65	24.39
47	2025-08-14-14-55-50	544	23.36	47	21.98
48	2025-08-14-14-55-51	581	20.54	37	24.87
49	2025-08-14-14-55-52	361	26.57	52	28.71
50	2025-08-14-14-55-53	285	29.72	38	28.37
51	2025-08-14-14-55-54	361	26.09	28	21.01
52	2025-08-14-14-55-55	417	27.59	4	27.49
53	2025-08-14-14-55-56	356	20.12	72	26.06
54	2025-08-14-14-55-57	434	21.32	11	25.09
55	2025-08-14-14-55-58	462	21.06	45	23.47
56	2025-08-14-14-55-59	645	26.63	59	23.9
57	2025-08-14-14-56-00	383	20.36	2	20.09
58	2025-08-14-14-56-01	464	21.68	76	27.01
59	2025-08-14-14-56-02	531	21.54	35	22.32
60	2025-08-14-14-56-03	553	20.08	58	20.32
61	2025-08-14-14-56-04	362	28.44	6	23.45
62	2025-08-14-14-56-06	360	23.43	70	26.96
63	2025-08-14-14-56-07	377	23.51	92	29.89
64	2025-08-14-14-56-08	483	25.59	42	25.14
65	2025-08-14-14-56-10	472	27.03	0	24.1
66	2025-08-14-14-56-11	324	29.31	50	23.24
67	2025-08-14-14-56-12	551	22.78	79	28.59
68	2025-08-14-14-56-13	376	22.85	33	23.11
69	2025-08-14-14-56-14	464	24.3	93	29.29
70	2025-08-14-14-56-15	496	24.22	77	27.09
71	2025-08-14-14-56-16	498	28.47	70	29.14
72	2025-08-14-14-56-17	397	29.52	49	27.51
73	2025-08-14-14-56-18	560	24.92	75	28.95
74	2025-08-14-14-56-19	295	22.83	83	26.75
75	2025-08-14-14-56-20	521	22.3	12	24.34
76	2025-08-14-14-56-21	377	20.97	36	21.97
77	2025-08-14-14-56-22	493	22.86	85	24.82
78	2025-08-14-14-56-23	358	24.19	20	24.27
79	2025-08-14-14-56-24	334	29.61	40	23.32
80	2025-08-14-14-56-25	349	29.03	54	25.51
81	2025-08-14-14-56-26	363	24.89	86	23.62
82	2025-08-14-14-56-27	492	25.97	17	28.45
83	2025-08-14-14-56-28	286	22.42	50	26.93
84	2025-08-14-14-56-29	569	24.27	27	25.11
85	2025-08-14-14-56-30	418	29.64	90	25.03
86	2025-08-14-14-56-31	382	21.6	99	22.28
87	2025-08-14-14-56-32	384	24.52	97	21.36
88	2025-08-14-14-56-33	341	21.15	87	20.06
89	2025-08-14-14-56-34	496	23.56	95	20.38
90	2025-08-14-14-56-35	413	21.11	51	27.39
91	2025-08-14-14-56-36	458	26.44	27	27.94
92	2025-08-14-14-56-37	367	24.39	81	29.16
93	2025-08-14-14-56-38	386	27.64	18	29.68
94	2025-08-14-14-56-39	576	20.15	35	20.51
95	2025-08-14-14-56-40	290	22.71	35	26.19
96	2025-08-14-14-56-41	621	24.25	35	24.63
97	2025-08-14-14-56-42	486	26.69	62	24.92
98	2025-08-14-14-56-43	520	26.07	76	25.84
99	2025-08-14-14-56-44	372	29.28	12	25.42
100	2025-08-14-14-56-45	483	21.3	21	23.16
101	2025-08-14-14-56-46	430	28.98	43	23.8
102	2025-08-14-14-56-47	359	23.49	18	25.59
103	2025-08-14-14-56-48	359	20.79	15	28.36
104	2025-08-14-14-56-49	586	23.38	66	23.15
105	2025-08-14-14-56-50	482	23.66	68	24.25
106	2025-08-14-14-56-51	473	28.59	67	29.28
107	2025-08-14-14-56-52	401	28.25	68	22.98
108	2025-08-14-14-56-53	536	20.24	39	29.73
109	2025-08-14-14-56-54	504	25.25	27	29.25
110	2025-08-14-14-56-55	301	20.92	95	20.09
111	2025-08-14-14-56-56	669	29.94	73	26.37
112	2025-08-14-14-56-57	588	26.3	88	27.32
113	2025-08-14-14-56-58	659	25.27	48	23.61
