1	2025-08-14-14-51-50	503	24.1	98	26.92
2	2025-08-14-14-51-51	440	20.34	34	28.7
3	2025-08-14-14-51-52	404	23.94	21	22.77
4	2025-08-14-14-51-53	555	27.24	93	29.98
5	2025-08-14-14-51-54	431	22.82	28	21.75
6	2025-08-14-14-51-55	574	25.26	73	28.28
7	2025-08-14-14-51-56	389	27.72	13	24.03
8	2025-08-14-14-51-57	385	28.61	89	26.55
9	2025-08-14-14-51-58	396	24.32	2	26.55
10	2025-08-14-14-51-59	399	22.22	49	23.34
11	2025-08-14-14-52-01	670	24.54	80	28.34
12	2025-08-14-14-52-02	548	23.74	83	21.12
13	2025-08-14-14-52-03	318	26.45	63	28.51
14	2025-08-14-14-52-04	361	20.44	25	27.92
15	2025-08-14-14-52-05	599	27.19	57	22.78
16	2025-08-14-14-52-06	531	22.61	3	22.1
17	2025-08-14-14-52-07	446	20.77	54	24.05
18	2025-08-14-14-52-08	366	22.47	22	27.83
19	2025-08-14-14-52-09	236	27.79	37	20.87
20	2025-08-14-14-52-10	337	25.77	7	20.78
21	2025-08-14-14-52-11	540	29.02	33	22.3
22	2025-08-14-14-52-12	465	22.63	26	29.24
23	2025-08-14-14-52-13	418	22.08	33	21.56
24	2025-08-14-14-52-14	387	27.18	86	24.85
25	2025-08-14-14-52-15	490	26.35	76	28.29
26	2025-08-14-14-52-16	555	22.72	46	26.11
27	2025-08-14-14-52-17	463	28.97	8	26.11
28	2025-08-14-14-52-18	329	25.27	24	20.78
29	2025-08-14-14-52-19	474	23.43	50	20.32
30	2025-08-14-14-52-20	430	24.24	75	24.08
31	2025-08-14-14-52-21	515	23.85	27	28
32	2025-08-14-14-52-22	494	20.55	73	20.06
33	2025-08-14-14-52-23	452	24.03	27	24.76
34	2025-08-14-14-52-24	208	23.32	5	27.71
35	2025-08-14-14-52-25	269	23.06	38	25.35
36	2025-08-14-14-52-26	540	29.52	78	27.55
37	2025-08-14-14-52-27	500	22.55	12	27.93
38	2025-08-14-14-52-28	555	26.14	72	28.46
39	2025-08-14-14-52-29	524	20.83	4	21.25
40	2025-08-14-14-52-30	520	27.54	51	20.58
41	2025-08-14-14-52-31	486	26.48	15	26.39
42	2025-08-14-14-52-32	552	22.9	95	25.65
43	2025-08-14-14-52-33	383	28.46	9	28.39
44	2025-08-14-14-52-34	429	27.25	77	27.21
45	2025-08-14-14-52-35	402	20.53	89	23.94
46	2025-08-14-14-52-36	449	21.05	84	20.4
47	2025-08-14-14-52-37	434	24.12	10	28.82
48	2025-08-14-14-52-38	279	21.84	29	21.2
49	2025-08-14-14-52-39	416	21.1	32	29.2
50	2025-08-14-14-52-40	493	26.35	51	20.01
51	2025-08-14-14-52-41	352	24.19	91	29.25
52	2025-08-14-14-52-42	571	23.96	54	28.83
53	2025-08-14-14-52-43	417	25.16	82	26.09
54	2025-08-14-14-52-44	599	20.05	3	25.06
55	2025-08-14-14-52-45	427	24.01	51	29.97
56	2025-08-14-14-52-46	414	23.3	38	22.19
57	2025-08-14-14-52-47	451	22.84	42	27.49
58	2025-08-14-14-52-48	489	22.62	25	28.8
59	2025-08-14-14-52-49	370	21.95	61	20.91
60	2025-08-14-14-52-51	606	27.44	98	29.18
61	2025-08-14-14-52-52	543	23	96	24.54
62	2025-08-14-14-52-53	586	26.86	90	20.69
63	2025-08-14-14-52-54	313	28.32	79	27.37
64	2025-08-14-14-52-55	484	29.59	37	20.23
65	2025-08-14-14-52-56	327	20.16	30	23.89
66	2025-08-14-14-52-57	370	29.13	38	28.63
67	2025-08-14-14-52-58	302	21.65	23	24.74
68	2025-08-14-14-52-59	525	27.81	69	25.37
69	2025-08-14-14-53-00	472	20.74	14	24.29
70	2025-08-14-14-53-01	572	24.11	35	22.74
71	2025-08-14-14-53-02	435	20.51	6	24.99
72	2025-08-14-14-53-03	386	22.55	7	20.76
73	2025-08-14-14-53-04	463	28.62	85	21.29
74	2025-08-14-14-53-05	433	29.7	4	21.82
75	2025-08-14-14-53-06	216	20.5	15	21.93
76	2025-08-14-14-53-07	488	23.44	14	29.34
77	2025-08-14-14-53-09	529	29.14	26	25.09
78	2025-08-14-14-53-10	115	26.84	11	20.41
79	2025-08-14-14-53-11	594	20.14	86	22.4
80	2025-08-14-14-53-12	455	21.37	33	25.24
81	2025-08-14-14-53-13	715	23.32	49	26.44
82	2025-08-14-14-53-14	338	21.33	39	24.37
83	2025-08-14-14-53-16	459	29.22	24	24.92
84	2025-08-14-14-53-17	513	27.25	91	22.33
85	2025-08-14-14-53-18	540	21.69	19	27.16
86	2025-08-14-14-53-19	364	29.46	88	22.26
87	2025-08-14-14-53-20	561	20.34	86	21.84
88	2025-08-14-14-53-21	550	21.39	16	27.09
89	2025-08-14-14-53-22	483	27.44	95	20.12
90	2025-08-14-14-53-23	407	27.45	90	25.6
91	2025-08-14-14-53-24	455	21.83	30	23.52
92	2025-08-14-14-53-25	637	23.31	20	28.9
93	2025-08-14-14-53-26	603	22.71	19	28.15
94	2025-08-14-14-53-27	537	24.62	34	23.66
95	2025-08-14-14-53-28	496	29.36	96	25.54
96	2025-08-14-14-53-30	487	20.74	93	21.62
97	2025-08-14-14-53-31	438	25.2	11	27.25
98	2025-08-14-14-53-32	383	28.6	29	27.42
99	2025-08-14-14-53-33	343	26.17	17	23.4
100	2025-08-14-14-53-34	336	21.56	4	21.53
101	2025-08-14-14-53-35	353	26.16	58	28.71
102	2025-08-14-14-53-36	485	24.42	96	20.94
103	2025-08-14-14-53-37	469	21.73	35	20.32
104	2025-08-14-14-53-38	442	26.87	29	29.99
105	2025-08-14-14-53-39	322	24.17	56	23.8
106	2025-08-14-14-53-40	428	21.08	42	27.57
107	2025-08-14-14-53-41	368	20.01	59	29.66
108	2025-08-14-14-53-42	396	26.47	31	24.39
109	2025-08-14-14-53-43	343	27.46	72	24.06
110	2025-08-14-14-53-44	529	24.95	94	21.2
111	2025-08-14-14-53-45	456	24.4	32	23.16
112	2025-08-14-14-53-46	614	24.06	16	20.82
113	2025-08-14-14-53-47	366	27.99	7	28.68
114	2025-08-14-14-53-49	457	21.87	2	21.79
115	2025-08-14-14-53-50	158	28.79	28	28.18
116	2025-08-14-14-53-51	539	21.37	18	23.75
117	2025-08-14-14-53-52	394	29.3	81	27.38
118	2025-08-14-14-53-53	428	25.69	35	28.31
119	2025-08-14-14-53-54	408	22.67	8	27.44
120	2025-08-14-14-53-55	332	28.54	20	24.06
121	2025-08-14-14-53-56	390	29.47	35	20.52
122	2025-08-14-14-53-57	577	24.49	85	28.92
123	2025-08-14-14-53-58	411	21.81	25	27.11
124	2025-08-14-14-53-59	473	20.59	94	27.45
125	2025-08-14-14-54-00	361	29.32	82	29.38
126	2025-08-14-14-54-01	527	23.7	48	29.95
127	2025-08-14-14-54-02	446	25.5	71	23.59
128	2025-08-14-14-54-03	370	27.39	8	27.38
129	2025-08-14-14-54-04	498	22.48	4	24.31
130	2025-08-14-14-54-05	555	28.6	88	27.48
131	2025-08-14-14-54-06	614	25.56	23	23.47
132	2025-08-14-14-54-07	443	28.2	64	24.36
133	2025-08-14-14-54-08	363	28.33	42	24.67
134	2025-08-14-14-54-09	265	22.9	98	29.63
