1	2025-08-14-14-40-17	372	23.88	58	20.43
2	2025-08-14-14-40-18	355	28.91	54	28.75
3	2025-08-14-14-40-19	551	28.01	54	20.29
4	2025-08-14-14-40-20	505	21.95	97	20.84
5	2025-08-14-14-40-21	357	28.41	65	29.24
6	2025-08-14-14-40-22	588	21.92	16	21.64
7	2025-08-14-14-40-23	319	25.42	67	22.74
8	2025-08-14-14-40-24	596	29.6	56	29.1
9	2025-08-14-14-40-25	447	29.42	98	23.79
10	2025-08-14-14-40-26	608	25.86	3	27.13
11	2025-08-14-14-40-27	557	21.25	25	20.93
12	2025-08-14-14-40-28	454	23.93	42	22.41
13	2025-08-14-14-40-29	525	24.3	55	26.56
14	2025-08-14-14-40-30	310	27.01	9	21.59
15	2025-08-14-14-40-31	460	26.98	28	20.77
16	2025-08-14-14-40-32	521	29.28	96	25.19
17	2025-08-14-14-40-33	482	28.96	54	28.79
18	2025-08-14-14-40-34	528	28.88	1	22.78
19	2025-08-14-14-40-35	467	28.47	63	28.99
20	2025-08-14-14-40-36	506	25.52	88	22.3
21	2025-08-14-14-40-38	482	23.88	56	24.12
22	2025-08-14-14-40-39	507	24.92	33	23.31
23	2025-08-14-14-40-40	232	24.36	35	27.93
24	2025-08-14-14-40-41	418	21.61	96	28.05
25	2025-08-14-14-40-42	291	22.46	32	22.98
26	2025-08-14-14-40-43	376	24.42	71	23.45
27	2025-08-14-14-40-44	525	29.35	47	20.52
28	2025-08-14-14-40-45	436	21.56	94	29.45
29	2025-08-14-14-40-46	565	26.66	60	20.68
30	2025-08-14-14-40-47	258	20.12	49	20.98
31	2025-08-14-14-40-48	633	21.93	30	29.21
32	2025-08-14-14-40-49	642	29.19	15	20.5
33	2025-08-14-14-40-50	496	28.03	52	26.12
34	2025-08-14-14-40-51	374	21.02	14	27.15
35	2025-08-14-14-40-52	327	25.32	30	20.85
36	2025-08-14-14-40-53	435	29.93	52	21.92
37	2025-08-14-14-40-54	233	27.43	18	23.91
38	2025-08-14-14-40-55	488	20.19	34	29.86
39	2025-08-14-14-40-56	425	23	61	29.98
40	2025-08-14-14-40-57	617	23.56	66	22.86
41	2025-08-14-14-40-58	449	29.7	75	20.28
42	2025-08-14-14-40-59	365	20.61	70	28.06
43	2025-08-14-14-41-00	565	20.7	38	24.38
44	2025-08-14-14-41-01	725	22.26	85	29.93
45	2025-08-14-14-41-02	371	20.14	19	20.93
46	2025-08-14-14-41-03	455	28.73	37	28.66
47	2025-08-14-14-41-04	392	20.32	46	29.29
48	2025-08-14-14-41-05	465	24.85	41	29.09
49	2025-08-14-14-41-06	693	24.32	81	22.15
